X,Y,Z
-0,3711365;-0,8817235;0,124089
-0,2802359;-0,8817235;0,1183106
-0,3132075;-0,8817235;0,1205917
-0,3131089;-0,8817235;0,1208481
-0,3093286;-0,873759;0,05580292
-0,3468025;-0,8803961;0,1126114
-0,2972706;-0,8803961;0,1092484
-0,338464;-0,8803961;0,1122879
-0,3384174;-0,8803961;0,1124359
-0,2888912;-0,8803961;0,1089706
-0,3300799;-0,8803961;0,1120926
-0,2723595;-0,8803961;0,1078094
-0,3135447;-0,8803961;0,110968
-0,2688936;-0,8724585;0,04284668
-0,3060475;-0,8790731;0,09982758
-0,2565659;-0,8790731;0,09618225
-0,2895292;-0,8790731;0,0986618
-0,197794;-0,879991;0,1026382
-0,3295746;-0,879991;0,1130157
-0,2307125;-0,879991;0,1052338
-0,2636688;-0,879991;0,1078003
-0,3130515;-0,879991;0,1118469
-0,2636239;-0,879991;0,1079102
-0,2635807;-0,879991;0,1080124
-0,2635359;-0,879991;0,1081223
-0,2552998;-0,879991;0,1074402
-0,247065;-0,879991;0,1067551
-0,2470205;-0,879991;0,1068512
-0,2387852;-0,879991;0,1061585
-0,2387421;-0,879991;0,1062576
-0,2305084;-0,879991;0,1055588
-0,2716862;-0,879991;0,1089767
-0,1810535;-0,879991;0,1015091
-0,2634062;-0,879991;0,1083984
-0,2139975;-0,879991;0,1042328
-0,2633615;-0,879991;0,1085068
-0,2633615;-0,879991;0,1085068
-0,2139551;-0,879991;0,1043228
-0,2551272;-0,879991;0,1078094
-0,2551272;-0,879991;0,1078094
-0,2551272;-0,879991;0,1078094
-0,2057219;-0,879991;0,1036072
-0,2468929;-0,879991;0,1071091
-0,2468929;-0,879991;0,1071091
-0,2550829;-0,879991;0,1079147
-0,2605852;-0,8720791;0,04342499
-0,256;-0,8786723;0,09716644
-0,256;-0,8786723;0,09716644
-0,256;-0,8786723;0,09716644
-0,256;-0,8786723;0,09716644
-0,256;-0,8786723;0,09716644
-0,256;-0,8786723;0,09716644
-0,256;-0,8786723;0,09716644
-0,256;-0,8786723;0,09716644
-0,2570623;-0,8777545;0,08638916
-0,2570623;-0,8777545;0,08638916
-0,2570623;-0,8777545;0,08638916
-0,2570623;-0,8777545;0,08638916
-0,2570623;-0,8777545;0,08638916
-0,2570623;-0,8777545;0,08638916
